epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,774.851,1.02807,1.60964,1.72791,1.16998,0.3901,0.64273,0.31327,0.21528,0.35856,0.5666,0.28335,0.16041,0.93134,1.28478,1.48973,1.12446,0.000315625,0.000315625,0.000315625
52,789.692,1.01049,1.5879,1.6097,1.15507,0.4357,0.66791,0.40139,0.26194,0.42705,0.64053,0.39146,0.19558,0.92044,1.26041,1.40469,1.12807,0.000309437,0.000309437,0.000309437
53,804.529,1.00459,1.61484,1.61891,1.14717,0.45345,0.64348,0.34155,0.243,0.44969,0.62837,0.33302,0.17519,0.9167,1.27061,1.43143,1.11947,0.00030325,0.00030325,0.00030325
54,819.291,1.02014,1.49247,1.63475,1.16897,0.32121,0.79311,0.36562,0.26566,0.31528,0.77035,0.35764,0.19314,0.92336,1.23376,1.39976,1.12176,0.000297063,0.000297063,0.000297063
55,834.147,0.99521,1.51379,1.58017,1.14641,0.42375,0.65751,0.43866,0.305,0.41911,0.63602,0.42183,0.23028,0.91085,1.26755,1.4315,1.11264,0.000290875,0.000290875,0.000290875
56,849.634,0.97421,1.47535,1.52904,1.13217,0.46998,0.62944,0.39783,0.29058,0.46878,0.56883,0.36168,0.22081,0.94917,1.27474,1.38072,1.12393,0.000284688,0.000284688,0.000284688
57,864.444,0.97573,1.42886,1.61726,1.12862,0.47549,0.62687,0.39216,0.27774,0.47625,0.57535,0.34936,0.21276,0.88108,1.16758,1.38473,1.10778,0.0002785,0.0002785,0.0002785
58,879.303,0.87535,1.40495,1.4743,1.05557,0.47361,0.5793,0.36912,0.26242,0.45729,0.56972,0.33555,0.18647,0.89156,1.1787,1.37026,1.10221,0.000272313,0.000272313,0.000272313
59,894.099,0.903,1.37909,1.52678,1.07263,0.33101,0.71163,0.3813,0.28802,0.38377,0.66449,0.36722,0.20973,0.83972,1.13007,1.32118,1.08299,0.000266125,0.000266125,0.000266125
60,909.055,0.93447,1.39944,1.55417,1.10809,0.40398,0.67602,0.40441,0.31481,0.38474,0.63732,0.37708,0.21365,0.84073,1.18146,1.34113,1.07439,0.000259938,0.000259938,0.000259938
61,923.902,0.94345,1.38721,1.51356,1.10147,0.42163,0.66176,0.39705,0.28674,0.39719,0.61532,0.36216,0.20423,0.83283,1.15743,1.34565,1.05986,0.00025375,0.00025375,0.00025375
